,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,5,0.0,4.0,1.0,2.0,8.0,3.0,1,1,0.0,0.0,20.0,0.0,0
1,5,0.0,9.0,3.0,2.0,1.0,3.0,1,1,0.0,0.0,40.0,0.0,0
2,4,0.0,1.0,1.0,2.0,2.0,1.0,0,1,0.0,0.0,20.0,0.0,0
3,4,0.0,10.0,3.0,0.0,7.0,0.0,1,1,3.0,0.0,40.0,0.0,0
4,5,0.0,8.0,1.0,1.0,7.0,3.0,0,1,0.0,0.0,56.0,0.0,0
5,5,0.0,9.0,3.0,0.0,1.0,2.0,0,1,0.0,0.0,45.0,0.0,0
6,5,0.0,4.0,3.0,2.0,10.0,4.0,1,1,0.0,0.0,40.0,0.0,0
7,4,1.0,3.0,1.0,0.0,9.0,2.0,0,1,0.0,0.0,50.0,0.0,0
8,4,0.0,9.0,1.0,1.0,4.0,3.0,1,1,0.0,0.0,70.0,0.0,0
9,4,0.0,5.0,3.0,0.0,10.0,2.0,1,1,0.0,0.0,40.0,0.0,0
10,4,7.0,2.0,1.0,2.0,13.0,1.0,1,1,0.0,0.0,56.0,0.0,0
11,4,0.0,5.0,0.0,2.0,4.0,1.0,0,1,0.0,0.0,35.0,0.0,0
12,4,0.0,5.0,1.0,2.0,0.0,1.0,0,1,0.0,0.0,15.0,0.0,0
13,4,0.0,4.0,3.0,1.0,1.0,5.0,1,1,0.0,0.0,48.0,0.0,0
14,4,0.0,3.0,9.0,2.0,8.0,3.0,0,1,0.0,0.0,40.0,0.0,0
15,5,0.0,4.0,3.0,0.0,8.0,0.0,0,1,0.0,0.0,40.0,0.0,0
16,4,0.0,9.0,3.0,0.0,5.0,3.0,0,1,0.0,0.0,40.0,0.0,0
17,5,0.0,14.0,1.0,0.0,3.0,2.0,1,1,0.0,0.0,55.0,0.0,0
18,5,5.0,14.0,3.0,0.0,8.0,1.0,1,1,0.0,0.0,40.0,0.0,0
19,4,1.0,4.0,1.0,2.0,2.0,3.0,1,1,0.0,0.0,75.0,0.0,0
20,5,0.0,19.0,3.0,4.0,3.0,5.0,1,1,0.0,0.0,25.0,20.0,0
21,5,0.0,5.0,3.0,0.0,0.0,0.0,0,1,0.0,0.0,38.0,0.0,0
22,4,2.0,6.0,1.0,1.0,4.0,5.0,1,1,0.0,0.0,50.0,0.0,0
23,5,7.0,9.0,1.0,2.0,13.0,1.0,1,1,0.0,0.0,40.0,0.0,0
24,5,5.0,6.0,3.0,0.0,5.0,2.0,1,1,0.0,0.0,40.0,0.0,0
25,4,0.0,8.0,3.0,0.0,3.0,4.0,1,1,0.0,0.0,44.0,17.0,0
26,5,0.0,14.0,3.0,2.0,6.0,1.0,1,1,0.0,0.0,16.0,0.0,0
27,4,0.0,9.0,3.0,4.0,3.0,3.0,1,1,0.0,0.0,40.0,0.0,0
28,4,0.0,4.0,3.0,0.0,2.0,2.0,1,1,0.0,0.0,40.0,11.0,0
29,4,0.0,9.0,2.0,1.0,7.0,5.0,0,1,0.0,0.0,40.0,0.0,0
30,5,0.0,18.0,1.0,1.0,1.0,3.0,1,1,0.0,0.0,40.0,0.0,0
31,5,1.0,5.0,1.0,2.0,5.0,1.0,1,1,0.0,0.0,35.0,0.0,0
32,5,0.0,19.0,1.0,2.0,8.0,1.0,0,1,0.0,0.0,40.0,0.0,0
33,4,0.0,15.0,6.0,0.0,0.0,2.0,0,1,0.0,0.0,40.0,20.0,0
34,4,0.0,10.0,3.0,2.0,8.0,3.0,1,1,0.0,0.0,45.0,0.0,0
35,4,1.0,1.0,3.0,0.0,9.0,2.0,1,1,0.0,0.0,30.0,0.0,0
36,5,5.0,13.0,1.0,2.0,7.0,1.0,0,1,0.0,0.0,40.0,0.0,0
37,4,0.0,4.0,12.0,1.0,1.0,3.0,1,1,0.0,0.0,45.0,0.0,0
38,4,0.0,13.0,0.0,2.0,4.0,3.0,0,1,0.0,0.0,45.0,0.0,0
39,5,0.0,13.0,6.0,2.0,5.0,3.0,1,1,0.0,0.0,43.0,0.0,0
40,5,0.0,11.0,1.0,0.0,1.0,2.0,0,1,0.0,0.0,40.0,0.0,0
41,5,4.0,11.0,3.0,2.0,8.0,5.0,1,1,0.0,0.0,35.0,0.0,0
42,4,0.0,5.0,1.0,1.0,7.0,3.0,0,1,0.0,0.0,40.0,0.0,0
43,4,0.0,5.0,3.0,2.0,2.0,4.0,1,1,0.0,0.0,25.0,0.0,0
44,5,0.0,12.0,1.0,0.0,8.0,2.0,1,1,0.0,0.0,40.0,0.0,0
45,5,5.0,11.0,0.0,1.0,8.0,3.0,1,1,0.0,0.0,40.0,0.0,0
46,5,0.0,34.0,3.0,2.0,6.0,3.0,1,1,0.0,0.0,30.0,0.0,0
47,5,0.0,7.0,1.0,2.0,2.0,1.0,0,1,0.0,0.0,32.0,0.0,0
48,4,1.0,2.0,1.0,0.0,3.0,2.0,1,1,0.0,0.0,45.0,0.0,0
49,4,7.0,5.0,1.0,0.0,13.0,2.0,1,1,0.0,0.0,40.0,0.0,0
50,5,0.0,9.0,3.0,0.0,1.0,2.0,0,1,0.0,0.0,40.0,0.0,0
51,4,0.0,9.0,10.0,2.0,11.0,3.0,0,1,0.0,0.0,45.0,39.0,0
52,5,5.0,1.0,1.0,2.0,10.0,1.0,0,1,0.0,0.0,25.0,0.0,0
53,4,0.0,11.0,1.0,0.0,1.0,2.0,0,1,0.0,0.0,40.0,0.0,0
54,5,0.0,5.0,1.0,2.0,8.0,1.0,1,1,0.0,0.0,26.0,0.0,0
55,4,0.0,7.0,0.0,0.0,12.0,2.0,0,1,0.0,0.0,17.0,0.0,0
56,5,0.0,8.0,3.0,4.0,8.0,5.0,1,1,0.0,0.0,43.0,0.0,0
57,4,7.0,4.0,3.0,0.0,13.0,2.0,1,1,0.0,0.0,40.0,15.0,0
58,5,0.0,13.0,6.0,2.0,1.0,1.0,0,1,0.0,0.0,33.0,0.0,0
59,4,1.0,13.0,1.0,0.0,9.0,2.0,1,1,0.0,0.0,20.0,0.0,0
60,4,0.0,8.0,0.0,1.0,4.0,3.0,0,1,0.0,0.0,50.0,0.0,0
61,4,0.0,1.0,1.0,1.0,8.0,5.0,0,1,0.0,0.0,40.0,0.0,0
62,5,3.0,5.0,3.0,1.0,8.0,5.0,1,1,0.0,0.0,40.0,0.0,0
63,5,0.0,9.0,11.0,2.0,11.0,3.0,0,1,0.0,0.0,40.0,31.0,0
64,5,0.0,10.0,3.0,0.0,1.0,2.0,1,1,0.0,0.0,40.0,0.0,0
65,5,0.0,2.0,1.0,2.0,0.0,3.0,0,1,0.0,0.0,60.0,0.0,0
66,4,0.0,11.0,3.0,0.0,7.0,2.0,0,1,0.0,0.0,40.0,0.0,0
67,4,0.0,6.0,1.0,2.0,10.0,5.0,1,1,0.0,0.0,20.0,3.0,0
68,4,5.0,9.0,0.0,1.0,5.0,3.0,1,1,0.0,0.0,40.0,0.0,0
69,5,0.0,6.0,12.0,3.0,8.0,3.0,1,1,0.0,0.0,47.0,18.0,0
70,5,1.0,8.0,5.0,0.0,3.0,2.0,1,1,0.0,0.0,50.0,0.0,0
71,4,3.0,14.0,1.0,1.0,8.0,5.0,0,1,0.0,0.0,25.0,0.0,0
72,5,0.0,10.0,3.0,1.0,2.0,3.0,0,1,0.0,0.0,35.0,0.0,0
73,5,4.0,5.0,10.0,2.0,5.0,3.0,1,1,0.0,0.0,40.0,0.0,0
